DB 2 MOTIF	CTCF_HUMAN.H11MO.0.A
-395.5	9
-394.5	2
-393.5	3
-392.5	3
-391.5	1
-390.5	2
-389.5	8
-388.5	4
-387.5	2
-386.5	3
-385.5	4
-384.5	3
-383.5	2
-382.5	5
-381.5	6
-380.5	3
-379.5	1
-378.5	3
-377.5	6
-376.5	2
-375.5	4
-374.5	1.5
-373.5	4
-372.5	5
-371.5	6
-370.5	2
-369.5	4
-368.5	5
-367.5	5
-366.5	5
-365.5	3
-364.5	4.5
-363.5	2
-362.5	6
-361.5	4
-360.5	4
-359.5	3
-358.5	8
-357.5	4
-356.5	4
-355.5	6
-354.5	4
-353.5	2
-352.5	2
-351.5	4
-350.5	4
-349.5	8
-348.5	4
-347.5	2
-346.5	9
-345.5	8
-344.5	2
-343.5	6
-342.5	7.5
-341.5	5
-340.5	6
-339.5	4
-338.5	2
-337.5	3
-336.5	6.5
-335.5	8
-334.5	4
-333.5	5
-332.5	8
-331.5	3
-330.5	1
-329.5	5
-328.5	5
-327.5	4
-326.5	6
-325.5	3
-324.5	0
-323.5	6
-322.5	1
-321.5	7
-320.5	3
-319.5	8
-318.5	1
-317.5	5
-316.5	6
-315.5	4
-314.5	7
-313.5	7
-312.5	3
-311.5	7.5
-310.5	4
-309.5	5
-308.5	4
-307.5	7
-306.5	6
-305.5	5
-304.5	4
-303.5	5
-302.5	9
-301.5	3
-300.5	5
-299.5	7
-298.5	5
-297.5	4
-296.5	2
-295.5	4
-294.5	3
-293.5	3
-292.5	1
-291.5	2
-290.5	5
-289.5	2
-288.5	8
-287.5	2
-286.5	6
-285.5	4
-284.5	5
-283.5	5
-282.5	4
-281.5	6
-280.5	4.5
-279.5	6
-278.5	4
-277.5	7
-276.5	3
-275.5	5
-274.5	7
-273.5	6
-272.5	2
-271.5	5
-270.5	4
-269.5	4
-268.5	6
-267.5	5
-266.5	1
-265.5	3
-264.5	4
-263.5	5
-262.5	2
-261.5	4
-260.5	4
-259.5	3
-258.5	5
-257.5	7
-256.5	4
-255.5	4
-254.5	9
-253.5	4
-252.5	3
-251.5	3
-250.5	5
-249.5	5
-248.5	3
-247.5	4
-246.5	2
-245.5	4
-244.5	6
-243.5	7
-242.5	1
-241.5	5
-240.5	2
-239.5	3
-238.5	6
-237.5	5
-236.5	4
-235.5	6
-234.5	4
-233.5	4
-232.5	4.5
-231.5	3
-230.5	8
-229.5	6.5
